System Term	Tissue Term	Sub-tissue Term
Cardiovascular System	arteries	arteries_abdominal aorta
Cardiovascular System	arteries	arteries_aorta
Cardiovascular System	arteries	arteries_ascending aorta
Cardiovascular System	arteries	arteries_coronary vessels
Cardiovascular System	arteries	arteries_splenic artery
Cardiovascular System	arteries	arteries_thoracic aorta
Cardiovascular System	arteries	arteries_tibial arteries
Cardiovascular System	heart	heart_atrial appendage
Cardiovascular System	heart	heart_atrioventricular node
Cardiovascular System	heart	heart_left ventricle
Cardiovascular System	heart	heart_pericardium
Cardiovascular System	heart	heart_right atrium
Cardiovascular System	heart	heart_right atrium auricular region
Cardiovascular System	heart	heart_right ventricle
Digestive System	cecum	cecum_appendix
Digestive System	colon	colon_sigmoid colon
Digestive System	colon	colon_transverse colon
Digestive System	esophagus	esophagus_gastroesophageal junction
Digestive System	esophagus	esophagus_mucosa
Digestive System	esophagus	esophagus_muscularis
Digestive System	esophagus	esophagus_muscularis mucosa
Digestive System	esophagus	esophagus_squamous epithelium
Digestive System	gallbladder	-
Digestive System	liver	liver_right lobe
Digestive System	muscle	muscle_esophageal sphincter
Digestive System	pancreas	pancreas_islets of langerhans
Digestive System	rectum	rectum_mucosa
Digestive System	salivary gland	salivary gland_minor
Digestive System	small intestine	small intestine_duodenum
Digestive System	small intestine	small intestine_ileum
Digestive System	small intestine	small intestine_jejunum
Digestive System	stomach	stomach_gastric mucosa
Digestive System	tongue	-
Endocrine System	adrenal gland	adrenal gland_cortex
Endocrine System	brain	brain_area postrema
Endocrine System	brain	brain_pituitary gland
Endocrine System	ovary	-
Endocrine System	pancreas	pancreas_islets of langerhans
Endocrine System	testis	testis_interstitial
Endocrine System	thyroid gland	-
Hemic and Immune Systems	blood	blood_cord blood
Hemic and Immune Systems	bone marrow	bone marrow_red
Hemic and Immune Systems	bone marrow	bone marrow_yellow
Hemic and Immune Systems	lymph nodes	-
Hemic and Immune Systems	palatine tonsil	-
Hemic and Immune Systems	spleen	-
Hemic and Immune Systems	thymus gland	-
Integumentary System	skin	skin_lower leg
Integumentary System	skin	skin_suprapubic
Musculoskeletal System	bone	-
Musculoskeletal System	cartilage	cartilage_articular cartilage
Musculoskeletal System	muscle	muscle_colon smooth muscle
Musculoskeletal System	muscle	muscle_esophageal sphincter
Musculoskeletal System	muscle	muscle_gastrocnemius medialis
Musculoskeletal System	muscle	muscle_heart muscle
Musculoskeletal System	muscle	muscle_psoas muscle
Musculoskeletal System	muscle	muscle_rectum smooth muscle
