TISMEDT_000001	Cardiovascular System
TISMEDT_000002	arteries
TISMEDT_000003	arteries_abdominal aorta
TISMEDT_000004	arteries_aorta
TISMEDT_000005	arteries_ascending aorta
TISMEDT_000006	arteries_coronary vessels
TISMEDT_000007	arteries_splenic artery
TISMEDT_000008	arteries_thoracic aorta
TISMEDT_000009	arteries_tibial arteries
TISMEDT_000010	heart
TISMEDT_000011	heart_atrial appendage
TISMEDT_000012	heart_atrioventricular node
TISMEDT_000013	heart_left ventricle
TISMEDT_000014	heart_pericardium
TISMEDT_000015	heart_right atrium
TISMEDT_000016	heart_right atrium auricular region
TISMEDT_000017	heart_right ventricle
TISMEDT_000018	Digestive System
TISMEDT_000019	cecum
TISMEDT_000020	cecum_appendix
TISMEDT_000021	colon
TISMEDT_000022	colon_sigmoid colon
TISMEDT_000023	colon_transverse colon
TISMEDT_000024	esophagus
TISMEDT_000025	esophagus_gastroesophageal junction
TISMEDT_000026	esophagus_mucosa
TISMEDT_000027	esophagus_muscularis
TISMEDT_000028	esophagus_muscularis mucosa
TISMEDT_000029	esophagus_squamous epithelium
TISMEDT_000030	gallbladder
TISMEDT_000031	liver
TISMEDT_000032	liver_right lobe
TISMEDT_000033	muscle
TISMEDT_000034	muscle_esophageal sphincter
TISMEDT_000035	pancreas
TISMEDT_000036	pancreas_islets of langerhans
TISMEDT_000037	rectum
TISMEDT_000038	rectum_mucosa
TISMEDT_000039	salivary gland
TISMEDT_000040	salivary gland_minor
TISMEDT_000041	small intestine
TISMEDT_000042	small intestine_duodenum
TISMEDT_000043	small intestine_ileum
TISMEDT_000044	small intestine_jejunum
TISMEDT_000045	stomach
TISMEDT_000046	stomach_gastric mucosa
TISMEDT_000047	tongue
TISMEDT_000048	Endocrine System
TISMEDT_000049	adrenal gland
TISMEDT_000050	adrenal gland_cortex
TISMEDT_000051	brain
TISMEDT_000052	brain_area postrema
TISMEDT_000053	brain_pituitary gland
TISMEDT_000054	ovary
TISMEDT_000055	testis
TISMEDT_000056	testis_interstitial
TISMEDT_000057	thyroid gland
TISMEDT_000058	Hemic and Immune Systems
TISMEDT_000059	blood
TISMEDT_000060	blood_cord blood
TISMEDT_000061	bone marrow
TISMEDT_000062	bone marrow_red
TISMEDT_000063	bone marrow_yellow
TISMEDT_000064	lymph nodes
TISMEDT_000065	palatine tonsil
TISMEDT_000066	spleen
TISMEDT_000067	thymus gland
TISMEDT_000068	Integumentary System
TISMEDT_000069	skin
TISMEDT_000070	skin_lower leg
TISMEDT_000071	skin_suprapubic
TISMEDT_000072	Musculoskeletal System
TISMEDT_000073	bone
TISMEDT_000074	cartilage
TISMEDT_000075	cartilage_articular cartilage
TISMEDT_000076	muscle_colon smooth muscle
TISMEDT_000077	muscle_gastrocnemius medialis
TISMEDT_000078	muscle_heart muscle
TISMEDT_000079	muscle_psoas muscle
TISMEDT_000080	muscle_rectum smooth muscle
TISMEDT_000081	muscle_skeletal muscle
TISMEDT_000082	muscle_smooth muscle
TISMEDT_000083	muscle_stomach smooth muscle
TISMEDT_000084	Nervous System
TISMEDT_000085	brain_amygdala
TISMEDT_000086	brain_angular gyrus
TISMEDT_000087	brain_anterior caudate nucleus
TISMEDT_000088	brain_anterior funiculus 
TISMEDT_000089	brain_anterior thalamic nucleus
TISMEDT_000090	brain_arcuate nucleus of hypothalamus
TISMEDT_000091	brain_area parastriata
TISMEDT_000092	brain_area striata
TISMEDT_000093	brain_auditory cortex
TISMEDT_000094	brain_basal nucleus of meynert
TISMEDT_000095	brain_basolateral nuclear complex
TISMEDT_000096	brain_caudate nucleus
TISMEDT_000097	brain_central amygdaloid nucleus
TISMEDT_000098	brain_centromedial thalamic nucleus
TISMEDT_000099	brain_cerebellar cortex
TISMEDT_000100	brain_cerebellar nuclei
TISMEDT_000101	brain_cerebellum
TISMEDT_000102	brain_cerebellum peduncles
TISMEDT_000103	brain_cerebral cortex
TISMEDT_000104	brain_cervical cord
TISMEDT_000105	brain_choroid plexus
TISMEDT_000106	brain_claustrum
TISMEDT_000107	brain_cochlear nucleus
TISMEDT_000108	brain_corpus callosum
TISMEDT_000109	brain_corpus striatum
TISMEDT_000110	brain_corticomedial nuclear complex
TISMEDT_000111	brain_cuneate nuclei
TISMEDT_000112	brain_dentate gyrus
TISMEDT_000113	brain_dorsal cochlear nucleus
TISMEDT_000114	brain_dorsal funiculus 
TISMEDT_000115	brain_dorsal medullary reticular nucleus
TISMEDT_000116	brain_dorsal motor vagal complex
TISMEDT_000117	brain_dorsal raphe nucleus
TISMEDT_000118	brain_dorsal tegmental nucleus
TISMEDT_000119	brain_dorsolateral prefrontal cortex
TISMEDT_000120	brain_dorsolateral tegmental area
TISMEDT_000121	brain_dorsomedial prefrontal cortex
TISMEDT_000122	brain_entorhinal cortex
TISMEDT_000123	brain_entorhinal gyrus
TISMEDT_000124	brain_facial nucleus
TISMEDT_000125	brain_flocculonodular lobe
TISMEDT_000126	brain_frontal lobe
TISMEDT_000127	brain_frontal operculum
TISMEDT_000128	brain_frontal pole cortex
TISMEDT_000129	brain_frontomarginal cortex
TISMEDT_000130	brain_frontopolar cortex
TISMEDT_000131	brain_geniculate bodies
TISMEDT_000132	brain_germinal matrix
TISMEDT_000133	brain_gigantocellular reticular nuclei
TISMEDT_000134	brain_globus pallidus
TISMEDT_000135	brain_grey matter
TISMEDT_000136	brain_gyrus cinguli
TISMEDT_000137	brain_habenula
TISMEDT_000138	brain_hippocampus
TISMEDT_000139	brain_hypothalamus
TISMEDT_000140	brain_inferior colliculus
TISMEDT_000141	brain_inferior olive
TISMEDT_000142	brain_insular cortex
TISMEDT_000143	brain_intraparietal deep sulcus
TISMEDT_000144	brain_Kolliker Fuse nucleus
TISMEDT_000145	brain_lateral funiculus
TISMEDT_000146	brain_lateral lemniscal nuclei
TISMEDT_000147	brain_lateral medullary reticular nucleus
TISMEDT_000148	brain_lateral thalamic nuclei
TISMEDT_000149	brain_limbic lobe
TISMEDT_000150	brain_locus coeruleus
TISMEDT_000151	brain_mammillary bodies
TISMEDT_000152	brain_medial olivary nucleus
TISMEDT_000153	brain_medial periolivary nuclei
TISMEDT_000154	brain_median raphe nucleus
TISMEDT_000155	brain_mediodorsal thalamic nucleus
TISMEDT_000156	brain_medulla oblongata
TISMEDT_000157	brain_mesencephalon
TISMEDT_000158	brain_midbrain reticular formation
TISMEDT_000159	brain_middle cingulate cortex
TISMEDT_000160	brain_middle frontal gyrus
TISMEDT_000161	brain_midline thalamic nuclei
TISMEDT_000162	brain_motor cortex
TISMEDT_000163	brain_motor hypoglossal nucleus
TISMEDT_000164	brain_nuclei of the trapezoid body
TISMEDT_000165	brain_nucleus accumbens
TISMEDT_000166	brain_nucleus cuneatus
TISMEDT_000167	brain_nucleus gracilis
TISMEDT_000168	brain_nucleus raphe magnus
TISMEDT_000169	brain_nucleus raphe obscurus
TISMEDT_000170	brain_nucleus raphe pallidus
TISMEDT_000171	brain_nucleus rhomboideus
TISMEDT_000172	brain_occipital lobe
TISMEDT_000173	brain_olfactory area
TISMEDT_000174	brain_olfactory bulb
TISMEDT_000175	brain_olfactory tubercle
TISMEDT_000176	brain_parabrachial nucleus
TISMEDT_000177	brain_paracentral lobule
TISMEDT_000178	brain_parahippocampal cortex
TISMEDT_000179	brain_paramedian reticular nucleus
TISMEDT_000180	brain_parathyroid glands
TISMEDT_000181	brain_paraventricular hypothalamic nucleus
TISMEDT_000182	brain_parietal lobe
TISMEDT_000183	brain_parietal operculum
TISMEDT_000184	brain_parieto insular vestibular cortex
TISMEDT_000185	brain_parieto occipital transitional area
TISMEDT_000186	brain_parieto temporal junction 
TISMEDT_000187	brain_parvicellular reticular nuclei
TISMEDT_000188	brain_pedunculopontine tegmental nucleus
TISMEDT_000189	brain_periaquaductal grey
TISMEDT_000190	brain_perirhinal gyrus
TISMEDT_000191	brain_peritrigeminal nucleus
TISMEDT_000192	brain_piriform cortex
TISMEDT_000193	brain_pons
TISMEDT_000194	brain_pontine nuclei
