TISMEDT_000001	Cardiovascular System	UBERON:0004535	cardiovascular system
TISMEDT_000002	arteries	UBERON:0001637	artery
TISMEDT_000003	arteries_abdominal aorta	UBERON:0001516	abdominal aorta
TISMEDT_000004	arteries_aorta	UBERON:0000947	aorta
TISMEDT_000005	arteries_ascending aorta	UBERON:0001496	ascending aorta
TISMEDT_000006	arteries_coronary vessels	UBERON:0005985	coronary vessel
TISMEDT_000007	arteries_splenic artery	UBERON:0001194	splenic artery
TISMEDT_000008	arteries_thoracic aorta	UBERON:0001515	thoracic aorta
TISMEDT_000009	arteries_tibial arteries	UBERON:0007610	tibial artery
TISMEDT_000010	heart	UBERON:0000948	heart
TISMEDT_000011	heart_atrial appendage	UBERON:0006618	atrium auricular region
TISMEDT_000012	heart_atrioventricular node	UBERON:0002352	atrioventricular node
TISMEDT_000013	heart_left ventricle	UBERON:0002084	heart left ventricle
TISMEDT_000014	heart_pericardium	UBERON:0002407	pericardium
TISMEDT_000015	heart_right atrium	UBERON:0002078	right cardiac atrium
TISMEDT_000016	heart_right atrium auricular region	UBERON:0006631	right atrium auricular region
TISMEDT_000017	heart_right ventricle	UBERON:0002080	heart right ventricle
TISMEDT_000018	Digestive System	UBERON:0001007	digestive system
TISMEDT_000019	cecum	UBERON:0001153	caecum
TISMEDT_000020	cecum_appendix	UBERON:0001154	vermiform appendix
TISMEDT_000021	colon	UBERON:0001155	colon
TISMEDT_000022	colon_sigmoid colon	UBERON:0001159	sigmoid colon
TISMEDT_000023	colon_transverse colon	UBERON:0001157	transverse colon
TISMEDT_000024	esophagus	UBERON:0001043	esophagus
TISMEDT_000025	esophagus_gastroesophageal junction	UBERON:0007650	esophagogastric junction
TISMEDT_000026	esophagus_mucosa	UBERON:0000344	mucosa
TISMEDT_000027	esophagus_muscularis	UBERON:0006660	muscular coat
TISMEDT_000028	esophagus_muscularis mucosa	UBERON:0006676	muscularis mucosa
TISMEDT_000029	esophagus_squamous epithelium	UBERON:0006914	squamous epithelium
TISMEDT_000030	gallbladder	UBERON:0002110	gall bladder
TISMEDT_000031	liver	UBERON:0002107	liver
TISMEDT_000032	liver_right lobe	UBERON:0001114	right lobe of liver
TISMEDT_000033	muscle	UBERON:0001630	muscle organ
TISMEDT_000034	muscle_esophageal sphincter	UBERON:0007652	esophageal sphincter
TISMEDT_000035	pancreas	UBERON:0001264	pancreas
TISMEDT_000036	pancreas_islets of langerhans	UBERON:0000006	islet of Langerhans
TISMEDT_000037	rectum	UBERON:0001052	rectum
TISMEDT_000038	rectum_mucosa	UBERON:0000344	mucosa
TISMEDT_000039	salivary gland	UBERON:0001044	saliva-secreting gland
TISMEDT_000040	salivary gland_minor	UBERON:0001830	minor salivary gland
TISMEDT_000041	small intestine	UBERON:0002108	small intestine
TISMEDT_000042	small intestine_duodenum	UBERON:0002114	duodenum
TISMEDT_000043	small intestine_ileum	UBERON:0002116	ileum
TISMEDT_000044	small intestine_jejunum	UBERON:0002115	jejunum
TISMEDT_000045	stomach	UBERON:0000945	stomach
TISMEDT_000046	stomach_gastric mucosa	UBERON:0001199	mucosa of stomach
TISMEDT_000047	tongue	UBERON:0001723	tongue
TISMEDT_000048	Endocrine System	UBERON:0000949	endocrine system
TISMEDT_000049	adrenal gland	UBERON:0002369	adrenal gland
TISMEDT_000050	adrenal gland_cortex	UBERON:0001851	cortex
TISMEDT_000051	brain	UBERON:0000955	brain
TISMEDT_000052	brain_area postrema	UBERON:0002162	area postrema
TISMEDT_000053	brain_pituitary gland	UBERON:0000007	pituitary gland
TISMEDT_000054	ovary	UBERON:0000992	female gonad
TISMEDT_000055	testis	UBERON:0000473	testis
TISMEDT_000056	testis_interstitial		
TISMEDT_000057	thyroid gland	UBERON:0002046	thyroid gland
TISMEDT_000058	Hemic and Immune Systems	UBERON:0002193	hemolymphoid system
TISMEDT_000059	blood	UBERON:0000178	blood
TISMEDT_000060	blood_cord blood	UBERON:0012168	umbilical cord blood
TISMEDT_000061	bone marrow	UBERON:0002371	bone marrow
TISMEDT_000062	bone marrow_red		
TISMEDT_000063	bone marrow_yellow		
TISMEDT_000064	lymph nodes	UBERON:0000029	lymph node
TISMEDT_000065	palatine tonsil	UBERON:0002373	palatine tonsil
TISMEDT_000066	spleen	UBERON:0002106	spleen
TISMEDT_000067	thymus gland	UBERON:0002370	thymus
TISMEDT_000068	Integumentary System	UBERON:0002416	integumental system
TISMEDT_000069	skin	UBERON:0000014	zone of skin
TISMEDT_000070	skin_lower leg	UBERON:0004264	lower leg skin
TISMEDT_000071	skin_suprapubic		
TISMEDT_000072	Musculoskeletal System	UBERON:0002204	musculoskeletal system
TISMEDT_000073	bone	UBERON:0002481	bone tissue
TISMEDT_000074	cartilage	UBERON:0002418	cartilage tissue
TISMEDT_000075	cartilage_articular cartilage	UBERON:0010996	articular cartilage of joint
TISMEDT_000076	muscle_colon smooth muscle		
TISMEDT_000077	muscle_gastrocnemius medialis	UBERON:0011907	gastrocnemius medialis
TISMEDT_000078	muscle_heart muscle	UBERON:0001133	cardiac muscle tissue
TISMEDT_000079	muscle_psoas muscle	UBERON:0008450	psoas muscle
TISMEDT_000080	muscle_rectum smooth muscle	UBERON:0018112	rectum smooth muscle tissue
TISMEDT_000081	muscle_skeletal muscle	UBERON:0001134	skeletal muscle tissue
TISMEDT_000082	muscle_smooth muscle	UBERON:0001135	smooth muscle tissue
TISMEDT_000083	muscle_stomach smooth muscle	UBERON:0004222	stomach smooth muscle
TISMEDT_000084	Nervous System	UBERON:0001016	nervous system
TISMEDT_000085	brain_amygdala	UBERON:0001876	amygdala
TISMEDT_000086	brain_angular gyrus	UBERON:0002686	angular gyrus
TISMEDT_000087	brain_anterior caudate nucleus	UBERON:0002626	head of caudate nucleus
TISMEDT_000088	brain_anterior funiculus	UBERON:0002180	ventral funiculus of spinal cord
